formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C7H7NO2	[M + H]+	C7H8NO2+	47,590	47,590	0,000	8	0,651	1,877	1,877	0,471		138,055	24	0,397	627520435291917357	627520048145073795	1	
1	C11H14N2O	[M + H]+	C11H15N2O+	106,341	106,341	0,000	31	0,782	1,808	3,201	1,206		191,118	24	0,398	627520455609127047	627520048392537736	2	
1	C12H16N2O	[M + H]+	C12H17N2O+	94,708	94,708	0,000	29	0,755	-0,268	2,120	0,636		205,134	32	0,529	627520433664527273	627520048539338381	3	
1	C15H24N2O2	[M + H]+	C15H25N2O2+	181,108	181,108	0,000	50	0,951	3,417	3,894	-0,733		265,191	44	0,730	627520455852396700	627520048656778898	4	
1	C15H26N2	[M + H]+	C15H27N2+	74,421	74,421	0,000	24	0,737	-0,133	4,128	-0,065		235,217	49	0,814	627520443382730414	627520048744859287	5	
1	C22H26N4	[M + H]+	C22H27N4+	40,189	40,189	0,000	18	0,840	2,078	2,306	0,279		347,223	52	0,870	627520442329959938	627520048862299804	6	
1	C13H15NO2	[M + H]+	C13H16NO2+	111,972	111,972	0,000	32	0,741	-3,418	5,266	-1,078		218,117	53	0,887	627520435837176938	627520048962963105	7	
1	C15H24N2O	[M + H]+	C15H25N2O+	163,339	163,339	0,000	42	0,862	0,280	1,091	-0,240		249,196	54	0,902	627520485560652451	627520049072015014	8	
1	C16H23NO6	[M + H]+	C16H24NO6+	108,257	108,257	0,000	34	0,851	2,706	2,817	-1,729		326,159	62	1,035	627520529718285527	627520049168484011	9	
1	C30H42N4O2	[M + H]+	C30H43N4O2+	61,327	61,327	0,000	36	0,831	-3,235	3,235	-0,556		491,338	70	1,172	627520536009741600	627520049285924528	10	
1	C11H14N2	[M + H]+	C11H15N2+	67,975	67,975	0,000	19	0,852	2,049	2,633	1,742		175,123	72	1,202	627520486412096216	627520049374004917	11	
1	C8H10N4O2	[M + H]+	C8H11N4O2+	54,895	54,895	0,000	14	0,894	0,722	1,409	0,605		195,088	72	1,207	627520448562696188	627520049466279610	12	
1	C13H17N7O2	[M + H]+	C13H18N7O2+	51,617	51,617	0,000	17	0,936	1,521	2,482	9,241		304,154	73	1,218	627520442896191072	627520049554359999	13	
1	C15H15N3O	[M + H]+	C15H16N3O+	99,390	99,390	0,000	34	0,778	-0,157	3,037	0,163		254,129	76	1,267	627520439003876638	627520049629857476	14	
1	C19H38NO3	[M + H]+	C19H39NO3+	195,961	195,961	0,000	56	0,984	0,386	1,122	10,217		329,296	77	1,278	627520479227253315	627520049717937865	15	
1	C7H6O3	[M + H]+	C7H7O3+	21,897	21,897	0,000	1	0,378	-2,990	2,990	1,651		139,039	79	1,319	627520459061039363	627520049789241038	16	
1	C15H21N3O2	[M + H]+	C15H22N3O2+	72,999	72,999	0,000	26	0,795	-0,070	4,156	0,314		276,171	80	1,335	627520443693108941	627520049877321427	17	
1	C9H19NO4	[M + H]+	C9H20NO4+	30,116	30,116	0,000	4	0,887	12,267	12,267	6,430		206,140	81	1,349	627520447648337868	627520049948624600	18	
1	C23H30N2O6	[M + H]+	C23H31N2O6+	112,544	112,544	0,000	45	0,892	-1,032	1,485	-0,401		431,217	81	1,349	627520466719838557	627520050049287901	19	
1	C9H10O5	[M + H]+	C9H11O5+	61,389	61,389	0,000	14	0,828	5,508	5,793	0,855		199,060	81	1,350	627520444519386910	627520050120591074	20	
1	C11H16N2O2	[M + H]+	C11H17N2O2+	136,163	136,163	0,000	40	0,861	-0,620	4,570	-2,220		209,128	81	1,354	627520440614489488	627520050208671463	21	
1	C9H8O4	[M + H]+	C9H9O4+	71,071	71,071	0,000	6	0,715	-0,823	2,448	1,242		181,050	83	1,387	627520445509242712	627520050288363244	22	
1	C10H13N5	[M + H]+	C10H14N5+	31,526	31,526	0,000	4	0,697	3,827	3,863	-1,479		204,124	83	1,387	627520442690670141	627520050351277809	23	
1	C21H42NO3	[M + H]+	C21H43NO3+	153,158	153,158	0,000	46	0,926	-0,586	2,969	6,673		357,326	84	1,397	627520438123072746	627520050447746806	24	
1	C27H30O16	[M + H]+	C27H31O16+	34,487	34,487	0,000	8	0,960	-1,738	1,738	0,898		611,161	84	1,407	627520452056551483	627520050523244283	25	
1	C37H42N2O6	[M + H]+	C37H43N2O6+	15,805	15,805	0,000	24	0,824	-0,014	1,026	-0,153		611,311	85	1,417	627520514371326972	627520050628101888	26	
1	C15H10O6	[M + H]+	C15H11O6+	168,590	168,590	0,000	46	0,913	-0,437	2,421	0,298		287,055	85	1,419	627520483102790254	627520050716182277	27	
1	C13H18O2	[M + H]+	C13H19O2+	190,951	190,951	0,000	36	0,856	0,993	2,526	0,839		207,138	89	1,475	627520470029144493	627520050812651274	28	
1	C22H16N4O8	[M + H]+	C22H17N4O8+	123,260	123,260	0,000	49	0,959	4,157	4,377	-2,451		465,103	89	1,482	627520543093921147	627520050921703183	29	
1	C11H13NO3	[M + H]+	C11H14NO3+	202,682	202,682	0,000	45	0,896	-3,202	3,298	-0,479		208,097	89	1,483	627520471643951567	627520051064309524	30	
1	C21H20O12	[M + H]+	C21H21O12+	91,124	91,124	0,000	34	0,788	-1,716	2,517	0,210		465,103	90	1,495	627520559665616635	627520051173361433	31	
1	C21H20O12	[M + H]+	C21H21O12+	122,081	122,081	0,000	40	0,839	0,413	2,952	-0,091		465,103	90	1,503	627520920551923427	627520051265636126	32	
1	C27H35NO12	[M + H]+	C27H36NO12+	108,858	108,858	0,000	39	0,891	-1,943	2,160	-0,163		566,223	92	1,535	627520969285542052	627520051349522211	33	
1	C12H19N3O	[M + H]+	C12H20N3O+	85,642	85,642	0,000	30	0,836	-5,076	5,076	-1,479		222,160	92	1,540	627520853602442366	627520051420825384	34	
1	C16H19NO2	[M + H]+	C16H20NO2+	103,723	103,723	0,000	31	0,825	-0,811	1,438	-0,137		258,149	93	1,549	627520871205936451	627520051496322861	35	
1	C20H24N2O	[M + H]+	C20H25N2O+	121,436	121,436	0,000	47	0,900	1,302	1,668	1,197		309,197	94	1,561	627520902092791418	627520051576014642	36	
1	C18H36NO3	[M + H]+	C18H37NO3+	181,841	181,841	0,000	52	0,962	-1,089	1,838	5,850		315,279	94	1,567	627520943507349586	627520051664095031	37	
1	C24H32N2O5	[M + H]+	C24H33N2O5+	121,611	121,611	0,000	41	0,831	1,587	1,766	-1,464		429,238	96	1,604	627520938902003718	627520051727009596	38	
1	C23H34O5	[M + H]+	C23H35O5+	128,827	128,827	0,000	43	0,857	0,155	0,607	0,407		391,248	97	1,609	627520926725939092	627520051806701377	39	
1	C9H6O3	[M + H]+	C9H7O3+	29,236	29,236	0,000	3	0,837	-1,613	1,613	0,365		163,039	97	1,611	627520983680393598	627520051882198854	40	
1	C19H27NO3S	[M + H]+	C19H28NO3S+	61,143	61,143	0,000	26	0,711	0,668	3,626	-10,141		350,175	97	1,614	627520997030863528	627520051974473547	41	
1	C21H35NO	[M + H]+	C21H36NO+	155,671	155,671	0,000	38	0,919	0,555	0,555	0,468		318,279	98	1,625	627520972313829599	627520052062553936	42	
1	C16H20N6O9	[M + H]+	C16H21N6O9+	181,550	181,550	0,000	52	0,946	-6,492	6,492	6,341		441,139	100	1,664	627521080015170716	627520052146440021	43	
1	C10H10O4	[M + H]+	C10H11O4+	90,934	90,934	0,000	13	0,736	1,365	4,812	-0,437		195,065	100	1,672	627520975983845656	627520052213548890	44	
1	C13H18O3	[M + H]+	C13H19O3+	179,758	179,758	0,000	34	0,836	-1,904	2,795	-1,214		223,133	101	1,677	627521002680591114	627520052297434975	45	
1	C16H12O5	[M + H]+	C16H13O5+	98,779	98,779	0,000	36	0,861	-0,464	1,443	1,298		285,076	109	1,818	627521042752972935	627520052381321060	46	
1	C30H50N2O4	[M + H]+	C30H51N2O4+	204,449	204,449	0,000	53	0,944	2,247	2,247	-0,247		503,384	110	1,828	627521050499852623	627520052477790057	47	
1	C26H29NO4	[M + H]+	C26H30NO4+	139,428	139,428	0,000	48	0,908	-8,866	8,866	0,679		420,217	114	1,892	627521015074759618	627520052570064750	48	
1	C15H11N5	[M + H]+	C15H12N5+	58,331	58,331	0,000	24	0,833	-0,813	0,821	0,527		262,109	115	1,915	627521043969321173	627520052679116659	49	
1	C23H23N3O3	[M + H]+	C23H24N3O3+	47,224	47,224	0,000	29	0,786	0,563	2,806	-0,918		390,181	117	1,945	627521053683329561	627520052758808440	50	
1	C31H43N5O2	[M + H]+	C31H44N5O2+	105,782	105,782	0,000	49	0,884	-1,336	2,761	-3,149		518,347	118	1,965	627521095689285012	627520052838500221	51	
1	C20H32N2O7	[M + H]+	C20H33N2O7+	47,590	47,590	0,000	20	0,732	2,295	3,887	4,264		413,230	121	2,015	627521080149388467	627520052909803394	52	
1	C18H35NO3	[M + H]+	C18H36NO3+	111,817	111,817	0,000	38	0,830	0,014	0,636	-0,701		314,269	121	2,018	627521086663142749	627520052993689479	53	
1	C10H8O4	[M + H]+	C10H9O4+	81,111	81,111	0,000	15	0,789	-0,153	1,883	-1,840		193,049	121	2,023	627521075846032426	627520053077575564	54	
1	C10H12O4	[M + H]+	C10H13O4+	151,632	151,632	0,000	32	0,824	1,671	2,540	-0,281		197,081	121	2,025	627521076525509712	627520053161461649	55	
1	C21H37NO	[M + H]+	C21H38NO+	158,662	158,662	0,000	33	0,866	-0,125	1,038	-0,254		320,295	122	2,028	627521066077498209	627520053270513558	56	
1	C20H24O10	[M + H]+	C20H25O10+	243,230	243,230	0,000	55	0,946	-2,790	2,790	0,415		425,144	123	2,043	627521143974113054	627520053358593947	57	
1	C20H24O9	[M + H]+	C20H25O9+	284,248	284,248	0,000	56	0,962	-1,583	1,583	1,054		409,150	123	2,046	627521099363495367	627520053463451552	58	
1	C11H12N6O5	[M + H]+	C11H13N6O5+	19,824	19,824	0,000	8	0,570	-1,555	5,336	1,184		309,095	123	2,050	627521162613600330	627520053551531941	59	
1	C21H33NO	[M + H]+	C21H34NO+	197,910	197,910	0,000	43	0,906	1,383	1,466	0,091		316,264	126	2,097	627521158025031577	627520053639612330	60	
1	C22H37NO	[M + H]+	C22H38NO+	160,731	160,731	0,000	34	0,866	-0,309	0,670	0,147		332,295	130	2,168	627521157915979648	627520053727692719	61	
1	C22H37NO	[M + H]+	C22H38NO+	157,010	157,010	0,000	33	0,861	0,699	0,851	0,418		332,295	130	2,168	627521301008855951	627520053832550324	62	
1	C24H27NO3	[M + H]+	C24H28NO3+	88,734	88,734	0,000	34	0,769	-1,311	3,321	-0,503		378,206	131	2,191	627521310072747043	627520053924825017	63	
1	C21H35NO	[M + H]+	C21H36NO+	168,336	168,336	0,000	37	0,876	0,012	1,590	1,661		318,280	131	2,192	627521419812518462	627520054017099710	64	
1	C21H35NO	[M + H]+	C21H36NO+	199,475	199,475	0,000	38	0,851	-0,885	1,047	-1,292		318,279	133	2,221	627521414146013677	627520054113568707	65	
1	C22H35NO	[M + H]+	C22H36NO+	141,708	141,708	0,000	40	0,856	1,303	1,303	-0,306		330,279	134	2,225	627521421448297144	627520054197454792	66	
1	C21H33NO	[M + H]+	C21H34NO+	173,326	173,326	0,000	44	0,906	0,472	2,299	0,502		316,264	134	2,232	627521422995996264	627520054293923789	67	
1	C23H39NO	[M + H]+	C23H40NO+	168,182	168,182	0,000	32	0,862	1,947	1,947	-0,408		346,310	134	2,241	627521308478911480	627520054398781394	68	
1	C22H35NO	[M + H]+	C22H36NO+	159,704	159,704	0,000	41	0,891	-0,337	1,564	0,057		330,279	138	2,292	627521312585135368	627520054495250391	69	
1	C15H10O6	[M + H]+	C15H11O6+	136,432	136,432	0,000	44	0,897	-2,282	3,062	-0,050		287,055	138	2,301	627521345388787446	627520054600107996	70	
1	C16H12O7	[M + H]+	C16H13O7+	132,406	132,406	0,000	39	0,861	-0,202	0,854	0,223		317,066	138	2,302	627521370386839457	627520054704965601	71	
1	C13H16N3O2	[M + H]+	C13H17N3O2+	129,566	129,566	0,000	43	0,892	-0,049	0,775	4,742		247,133	138	2,308	627521421234387608	627520054809823206	72	
1	C14H9NO2	[M + H]+	C14H10NO2+	87,991	87,991	0,000	31	0,786	-1,363	2,595	-0,245		224,071	139	2,318	627521434685522611	627520054902097899	73	
1	C33H42N6O6	[M + H]+	C33H43N6O6+	66,336	66,336	0,000	37	0,805	2,217	3,293	-0,354		619,324	146	2,434	627521481418458764	627520054990178288	74	
1	C25H31N3O2	[M + H]+	C25H32N3O2+	51,658	51,658	0,000	14	0,824	-0,652	1,013	-2,224		406,248	151	2,515	627521435520189152	627520055095035893	75	
1	C43H62O14	[M + H]+	C43H63O14+	79,663	79,663	0,000	24	0,681	-4,288	4,924	-3,688		803,418	152	2,538	627521496278878385	627520055183116282	76	
1	C13H9NO	[M + H]+	C13H10NO+	83,139	83,139	0,000	26	0,812	0,229	1,573	0,457		196,076	159	2,658	627521429224538478	627520055283779583	77	
1	C16H12O4	[M + H]+	C16H13O4+	131,650	131,650	0,000	36	0,843	-0,126	1,184	0,092		269,081	165	2,747	627521481808529091	627520055376054276	78	
1	C21H22O6	[M + H]+	C21H23O6+	86,356	86,356	0,000	27	0,881	-2,751	2,751	0,418		371,149	175	2,917	627521489890953157	627520055468328969	79	
1	C21H37N	[M + H]+	C21H38N+	78,906	78,906	0,000	23	0,839	-0,254	0,690	-0,285		304,300	179	2,988	627521493191870535	627520055564797966	80	
1	C21H37N	[M + H]+	C21H38N+	108,191	108,191	0,000	27	0,864	0,348	1,113	-0,350		304,300	180	2,993	627521496555702494	627520055648684051	81	
1	C32H43NO9	[M + H]+	C32H44NO9+	64,116	64,116	0,000	24	0,774	0,496	1,153	-0,373		586,301	187	3,114	627521510887639633	627520055749347352	82	
1	C17H22N2O9	[M + H]+	C17H23N2O9+	65,707	65,707	0,000	28	0,807	-2,530	4,915	8,927		399,143	188	3,137	627521504281610640	627520055845816349	83	
1	C16H14O4	[M + H]+	C16H15O4+	43,557	43,557	0,000	14	0,671	-0,767	4,898	0,201		271,097	194	3,227	627521488968206228	627520055921313826	84	
1	C11H14O3	[M + H]+	C11H15O3+	205,911	205,911	0,000	39	0,877	-1,074	1,740	-2,157		195,101	195	3,253	627521491677726741	627520056005199911	85	
1	C10H10N3O5S	[M + H]+	C10H11N3O5S+	108,908	108,908	0,000	30	0,692	-2,954	4,722	-10,816		285,038	196	3,268	627521507670608350	627520056101668908	86	
1	C18H16O7	[M + H]+	C18H17O7+	217,541	217,541	0,000	48	0,922	-0,356	0,468	-1,505		345,096	200	3,335	627521508308142603	627520056235886641	87	
1	C18H16O7	[M + H]+	C18H17O7+	187,301	187,301	0,000	42	0,844	0,214	2,102	-2,026		345,096	262	4,358	627521524338772943	627520056344938550	88	
1	C24H28N6O5	[M + H]+	C24H29N6O5+	21,114	21,114	0,000	5	1,000	-2,241	3,776	-2,482		481,218	275	4,588	627521540847553726	627520056433018939	89	
1	C19H37NO3	[M + H]+	C19H38NO3+	100,744	100,744	0,000	36	0,809	0,545	1,392	-0,093		328,285	442	7,372	627521521708944295	627520056516905024	90	
1	C39H54N6O6	[M + H]+	C39H55N6O6+	108,811	108,811	0,000	46	0,826	3,832	3,832	7,151		703,423	760	12,675	627521606383554484	627520056604985413	91	
1	C34H50N2O10	[M + H]+	C34H51N2O10+	69,469	69,469	0,000	38	0,775	0,188	4,806	4,615		647,357	810	13,499	627521686855471258	627520056693065802	92	
1	C26H40N2O9	[M + H]+	C26H41N2O9+	48,676	48,676	0,000	42	0,731	2,488	4,727	-5,021		525,278	1212	20,192	627521779671225119	627520056793729103	93	
1	C31H44N2O10	[M + H]+	C31H45N2O10+	95,474	95,474	0,000	45	0,878	-2,481	3,991	-6,694		605,303	1337	22,288	627521749656785500	627520056902781012	94	
1	C37H60N6O7S	[M + H]+	C37H61N6O7S+	44,965	44,965	0,000	32	0,714	-1,770	2,912	0,429		733,432	1338	22,308	627521746318119464	627520056940529753	95	
1	C31H48N8O7	[M + H]+	C31H49N8O7+	59,977	59,977	0,000	35	0,773	2,258	3,718	8,720		645,378	1491	24,851	627521756770325199	627520056982472798	96	
