formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H24N2O2	[M + H]+	C15H25N2O2+	181,108	181,108	0,000	50	0,951	3,417	3,894	-0,733		265,191	1338	625965223046393919	625964163967850308	1
1	C21H37N	[M + H]+	C21H38N+	78,906	78,906	0,000	23	0,839	-0,254	0,690	-0,285		304,300	1338	625965267464074218	625964164429223753	2
1	C23H39NO	[M + H]+	C23H40NO+	168,182	168,182	0,000	32	0,862	1,947	1,947	-0,408		346,310	1338	625965202636910197	625964164714436430	3
1	C22H35NO	[M + H]+	C22H36NO+	141,708	141,708	0,000	40	0,856	1,303	1,303	-0,306		330,279	1338	625965042531934852	625964164974483283	4
1	C12H19N3O	[M + H]+	C12H20N3O+	85,642	85,642	0,000	30	0,836	-5,076	5,076	-1,479		222,160	1338	625965046512329583	625964165259695960	5
1	C15H15N3O	[M + H]+	C15H16N3O+	99,390	99,390	0,000	34	0,778	-0,157	3,037	0,163		254,129	1338	625965129672796393	625964165481994077	6
1	C26H29NO4	[M + H]+	C26H30NO4+	139,428	139,428	0,000	48	0,908	-8,866	8,866	0,679		420,217	1338	625965290188813548	625964165809149794	7
1	C15H11N5	[M + H]+	C15H12N5+	58,331	58,331	0,000	24	0,833	-0,813	0,821	0,527		262,109	1338	625965166767221842	625964166065002343	8
1	C10H12O4	[M + H]+	C10H13O4+	151,632	151,632	0,000	32	0,824	1,671	2,540	-0,281		197,081	1338	625965137067354616	625964166299883372	9
1	C30H50N2O4	[M + H]+	C30H51N2O4+	204,449	204,449	0,000	53	0,944	2,247	2,247	-0,247		503,384	1338	625965053307102205	625964166526375793	10
1	C21H22O6	[M + H]+	C21H23O6+	86,356	86,356	0,000	27	0,881	-2,751	2,751	0,418		371,149	1338	625965196966211068	625964166736090998	11
1	C9H10O5	[M - H2O + H]+	C9H9O4+	71,071	71,071	0,000	7	0,715	-0,823	2,448	-99477,292		181,050	1338	625965206084628239	625964166950000507	12
1	C8H10N4O2	[M + H]+	C8H11N4O2+	54,895	54,895	0,000	14	0,894	0,722	1,409	0,605		195,088	1338	625965132059355466	625964167147132800	13
1	C22H26N4	[M + H]+	C22H27N4+	40,189	40,189	0,000	18	0,840	2,078	2,306	0,279		347,223	1338	625965023338799128	625964167361042309	14
1	C23H30N2O6	[M + H]+	C23H31N2O6+	112,544	112,544	0,000	45	0,892	-1,032	1,485	-0,401		431,217	1338	625965029860941980	625964167587534730	15
1	C24H32N2O5	[M + H]+	C24H33N2O5+	121,611	121,611	0,000	41	0,831	1,587	1,766	-1,464		429,238	1338	625965045988041527	625964167793055631	16
1	C14H9NO2	[M + H]+	C14H10NO2+	87,991	87,991	0,000	31	0,786	-1,363	2,595	-0,245		224,071	1338	625965249432760875	625964167965022100	17
1	C18H36NO3	[M + H]+	C18H37NO3+	181,841	181,841	0,000	52	0,962	-1,089	1,838	5,850		315,279	1338	625965218797563910	625964168166348697	18
1	C21H42NO3	[M + H]+	C21H43NO3+	153,158	153,158	0,000	46	0,926	-0,586	2,969	6,673		357,326	1338	625965095002679034	625964168346703774	19
1	C19H38NO3	[M + H]+	C19H39NO3+	195,961	195,961	0,000	56	0,984	0,386	1,122	10,217		329,296	1338	625965056146646129	625964168556418979	20
1	C11H13NO3	[M + H]+	C11H14NO3+	202,682	202,682	0,000	45	0,896	-3,202	3,298	-0,479		208,097	1338	625965039755305510	625964168761939880	21
1	C15H10O6	[M + H]+	C15H11O6+	168,590	168,590	0,000	46	0,913	-0,437	2,421	0,298		287,055	1338	625965298871022871	625964168925517741	22
1	C33H42N6O6	[M + H]+	C33H43N6O6+	66,336	66,336	0,000	37	0,805	2,217	3,293	-0,354		619,324	1338	625965205631643362	625964169080706994	23
1	C23H23N3O3	[M + H]+	C23H24N3O3+	47,224	47,224	0,000	29	0,786	0,563	2,806	-0,918		390,181	1338	625965169216695464	625964169240090551	24
1	C11H14N2O	[M + H]+	C11H15N2O+	106,341	106,341	0,000	31	0,782	1,808	3,201	1,206		191,118	1338	625965048085193647	625964169403668412	25
1	C16H12O4	[M + H]+	C16H13O4+	131,650	131,650	0,000	36	0,843	-0,126	1,184	0,092		269,081	1338	625965155123833676	625964169579829185	26
1	C13H18O3	[M + H]+	C13H19O3+	179,758	179,758	0,000	34	0,836	-1,904	2,795	-1,214		223,133	1338	625965213030395834	625964169755989958	27
1	C21H37N	[M + H]+	C21H38N+	108,191	108,191	0,000	27	0,864	0,348	1,113	-0,350		304,300	1338	625965224480845976	625964169961510859	28
1	C17H22N2O9	[M + H]+	C17H23N2O9+	65,707	65,707	0,000	28	0,807	-2,530	4,915	8,927		399,143	1338	625965241807516029	625964170116700112	29
1	C23H34O5	[M + H]+	C23H35O5+	128,827	128,827	0,000	43	0,857	0,155	0,607	0,407		391,248	1338	625965061666350351	625964170330609621	30
1	C9H19NO4	[M + H]+	C9H20NO4+	30,116	30,116	0,000	4	0,887	12,267	12,267	6,430		206,140	1338	625965179853450529	625964170494187482	31
1	C15H21N3O2	[M + H]+	C15H22N3O2+	72,999	72,999	0,000	26	0,795	-0,070	4,156	0,314		276,171	1338	625965044893328097	625964170703902687	32
1	C21H35NO	[M + H]+	C21H36NO+	199,475	199,475	0,000	38	0,851	-0,885	1,047	-1,292		318,279	1338	625965059997017320	625964170901034980	33
1	C20H24O9	[M + H]+	C20H25O9+	284,248	284,248	0,000	56	0,962	-1,583	1,583	1,054		409,150	1338	625965092007945905	625964171135916009	34
1	C20H24O10	[M + H]+	C20H25O10+	243,230	243,230	0,000	55	0,946	-2,790	2,790	0,415		425,144	1338	625965397000959866	625964171358214126	35
1	C16H20N6O9	[M + H]+	C16H21N6O9+	181,550	181,550	0,000	52	0,946	-6,492	6,492	6,341		441,139	1338	625965266205782963	625964171538569203	36
1	C20H32N2O7	[M + H]+	C20H33N2O7+	47,590	47,590	0,000	20	0,732	2,295	3,887	4,264		413,230	1338	625965031110844623	625964171714729976	37
1	C43H64O15	[M - H2O + H]+	C43H63O14+	79,663	79,663	0,000	25	0,681	-4,288	4,924	-22421,108		803,418	1338	625965188552437097	625964171865724925	38
1	C21H35NO	[M + H]+	C21H36NO+	155,671	155,671	0,000	38	0,919	0,555	0,555	0,468		318,279	1338	625965018532126562	625964172062857218	39
1	C21H33NO	[M + H]+	C21H34NO+	197,910	197,910	0,000	43	0,906	1,383	1,466	0,091		316,264	1338	625965084156208714	625964172234823687	40
1	C21H35NO	[M + H]+	C21H36NO+	168,336	168,336	0,000	37	0,876	0,012	1,590	1,661		318,280	1338	625965019647811455	625964172436150284	41
1	C21H33NO	[M + H]+	C21H34NO+	173,326	173,326	0,000	44	0,906	0,472	2,299	0,502		316,264	1338	625965286569129161	625964172612311057	42
1	C22H37NO	[M + H]+	C22H38NO+	160,731	160,731	0,000	34	0,866	-0,309	0,670	0,147		332,295	1338	625965227999867118	625964172801054742	43
1	C22H35NO	[M + H]+	C22H36NO+	159,704	159,704	0,000	41	0,891	-0,337	1,564	0,057		330,279	1338	625965262388966235	625964173027547163	44
1	C22H37NO	[M + H]+	C22H38NO+	157,010	157,010	0,000	33	0,861	0,699	0,851	0,418		332,295	1338	625965230466117957	625964173207902240	45
1	C30H42N4O2	[M + H]+	C30H43N4O2+	61,327	61,327	0,000	36	0,831	-3,235	3,235	-0,556		491,338	1338	625965054758331441	625964173384063013	46
1	C21H20O12	[M + H]+	C21H21O12+	91,124	91,124	0,000	34	0,788	-1,716	2,517	0,210		465,103	1338	625965159485909965	625964173577001002	47
1	C16H14O4	[M + H]+	C16H15O4+	43,557	43,557	0,000	14	0,671	-0,767	4,898	0,201		271,097	1338	625965036404056456	625964173761550383	48
1	C27H35NO12	[M + H]+	C27H36NO12+	108,858	108,858	0,000	39	0,891	-1,943	2,160	-0,163		566,223	1338	625965119379974131	625964173958682676	49
1	C16H19NO2	[M + H]+	C16H20NO2+	103,723	103,723	0,000	31	0,825	-0,811	1,438	-0,137		258,149	1338	625965036865429945	625964174134843449	50
1	C10H12O5	[M - H2O + H]+	C10H11O4+	90,934	90,934	0,000	14	0,736	1,365	4,812	-92331,483		195,065	1338	625965057262331035	625964174298421310	51
1	C21H37NO	[M + H]+	C21H38NO+	158,662	158,662	0,000	33	0,866	-0,125	1,038	-0,254		320,295	1338	625965087134164608	625964174461999171	52
1	C16H12O5	[M + H]+	C16H13O5+	98,779	98,779	0,000	36	0,861	-0,464	1,443	1,298		285,076	1338	625965033593872676	625964174629771336	53
1	C22H16N4O8	[M + H]+	C22H17N4O8+	123,260	123,260	0,000	49	0,959	4,157	4,377	-2,451		465,103	1338	625965256235922122	625964174801737805	54
1	C16H12O7	[M + H]+	C16H13O7+	132,406	132,406	0,000	39	0,861	-0,202	0,854	0,223		317,066	1338	625965078007358895	625964174977898578	55
1	C15H10O6	[M + H]+	C15H11O6+	136,432	136,432	0,000	44	0,897	-2,282	3,062	-0,050		287,055	1338	625965097322129184	625964175141476439	56
1	C15H24N2O	[M + H]+	C15H25N2O+	163,339	163,339	0,000	42	0,862	0,280	1,091	-0,240		249,196	1338	625965268562981897	625964175309248604	57
1	C25H31N3O2	[M + H]+	C25H32N3O2+	51,658	51,658	0,000	14	0,824	-0,652	1,013	-2,224		406,248	1338	625965121963665451	625964175481215073	58
1	C16H23NO6	[M + H]+	C16H24NO6+	108,257	108,257	0,000	34	0,851	2,706	2,817	-1,729		326,159	1338	625965223772008550	625964175636404326	59
1	C21H20O12	[M + H]+	C21H21O12+	122,081	122,081	0,000	40	0,839	0,413	2,952	-0,091		465,103	1338	625965079102072286	625964175804176491	60
1	C31H43N5O2	[M + H]+	C31H44N5O2+	105,782	105,782	0,000	49	0,884	-1,336	2,761	-3,149		518,347	1338	625966212700813793	625964175971948656	61
1	C12H16N2O	[M + H]+	C12H17N2O+	94,708	94,708	0,000	29	0,755	-0,268	2,120	0,636		205,134	1338	625966329906447272	625964176139720821	62
1	C19H37NO3	[M + H]+	C19H38NO3+	100,744	100,744	0,000	36	0,809	0,545	1,392	-0,093		328,285	1338	625966331802272815	625964176307492986	63
1	C11H14N2	[M + H]+	C11H15N2+	67,975	67,975	0,000	19	0,852	2,049	2,633	1,742		175,123	1338	625966234507000340	625964176462682239	64
1	C9H6O3	[M + H]+	C9H7O3+	29,236	29,236	0,000	3	0,837	-1,613	1,613	0,365		163,039	1338	625966332519498849	625964176668203140	65
1	C13H9NO	[M + H]+	C13H10NO+	83,139	83,139	0,000	26	0,812	0,229	1,573	0,457		196,076	1338	625966358750677996	625964176848558217	66
1	C22H23NO3	[M + H]+	C22H24NO3+	58,888	58,888	0,000	26	0,708	-2,821	4,003	-0,514		350,175	1338	625966353700735605	625964176991164558	67
1	C18H16O7	[M + H]+	C18H17O7+	217,541	217,541	0,000	48	0,922	-0,356	0,468	-1,505		345,096	1338	625966404783165123	625964177276377235	68
1	C7H6O3	[M + H]+	C7H7O3+	21,897	21,897	0,000	1	0,378	-2,990	2,990	1,651		139,039	1338	625966354875140842	625964177431566488	69
1	C13H15NO2	[M + H]+	C13H16NO2+	111,972	111,972	0,000	32	0,741	-3,418	5,266	-1,078		218,117	1338	625966359673424948	625964177595144349	70
1	C11H16N2O2	[M + H]+	C11H17N2O2+	136,163	136,163	0,000	40	0,861	-0,620	4,570	-2,220		209,128	1338	625966407945670517	625964177733556386	71
1	C37H42N2O6	[M + H]+	C37H43N2O6+	15,805	15,805	0,000	24	0,824	-0,014	1,026	-0,153		611,311	1338	625966444134136371	625964177897134247	72
1	C18H35NO3	[M + H]+	C18H36NO3+	111,817	111,817	0,000	38	0,830	0,014	0,636	-0,701		314,269	1338	625966356930349908	625964178043934892	73
1	C31H44N2O10	[M + H]+	C31H45N2O10+	95,474	95,474	0,000	45	0,878	-2,481	3,991	-6,694		605,303	1338	625966453776841499	625964178190735537	74
1	C10H10N3O5S	[M + H]+	C10H11N3O5S+	108,908	108,908	0,000	30	0,692	-2,954	4,722	-10,816		285,038	1338	625966371996290423	625964178337536182	75
1	C27H30O16	[M + H]+	C27H31O16+	34,487	34,487	0,000	8	0,960	-1,738	1,738	0,898		611,161	1338	625966364106804392	625964178752772283	76
1	C10H16N2O9	[M + H]+	C10H17N2O9+	21,841	21,841	0,000	8	0,547	2,046	3,954	5,511		309,095	1338	625966350156548479	625964178899572928	77
1	C13H16N3O2	[M + H]+	C13H17N3O2+	129,566	129,566	0,000	43	0,892	-0,049	0,775	4,742		247,133	1338	625966350353680811	625964179071539397	78
1	C13H17N7O2	[M + H]+	C13H18N7O2+	51,617	51,617	0,000	17	0,936	1,521	2,482	9,241		304,154	1338	625966377562131939	625964179205757130	79
1	C10H8O4	[M + H]+	C10H9O4+	81,111	81,111	0,000	15	0,789	-0,153	1,883	-1,840		193,049	1338	625966370628947236	625964179344169167	80
1	C15H26N2	[M + H]+	C15H27N2+	74,421	74,421	0,000	24	0,737	-0,133	4,128	-0,065		235,217	1338	625966357777599395	625964179486775508	81
1	C32H43NO9	[M + H]+	C32H44NO9+	64,116	64,116	0,000	24	0,774	0,496	1,153	-0,373		586,301	1338	625966413213716547	625964179662936281	82
1	C9H12O6	[M - H2O + H]+	C9H11O5+	61,389	61,389	0,000	15	0,828	5,508	5,793	-90477,093		199,060	1338	625966429181441350	625964179801348318	83
1	C20H24N2O	[M + H]+	C20H25N2O+	121,436	121,436	0,000	47	0,900	1,302	1,668	1,197		309,197	1338	625966479454371024	625964179943954659	84
1	C10H13N5	[M + H]+	C10H14N5+	31,526	31,526	0,000	4	0,697	3,827	3,863	-1,479		204,124	1338	625966455811079014	625964180090755304	85
1	C7H7NO2	[M + H]+	C7H8NO2+	47,590	47,590	0,000	8	0,651	1,877	1,877	0,471		138,055	1338	625966501336055399	625964180229167341	86
1	C11H14O3	[M + H]+	C11H15O3+	205,911	205,911	0,000	39	0,877	-1,074	1,740	-2,157		195,101	1338	625966447963536033	625964180375967986	87
1	C24H27NO3	[M + H]+	C24H28NO3+	88,734	88,734	0,000	34	0,769	-1,311	3,321	-0,503		378,206	1338	625966470331759678	625964180518574327	88
1	C18H16O7	[M + H]+	C18H17O7+	187,301	187,301	0,000	42	0,844	0,214	2,102	-2,026		345,096	1338	625966469052496903	625964180665374972	89
1	C13H18O2	[M + H]+	C13H19O2+	190,951	190,951	0,000	36	0,856	0,993	2,526	0,839		207,138	1338	625966484282015025	625964180816369921	90
1	C24H28N6O5	[M + H]+	C24H29N6O5+	21,114	21,114	0,000	5	1,000	-2,241	3,776	-2,482		481,218	1338	625966495237537245	625964180942199046	91
1	C31H48N8O7	[M + H]+	C31H49N8O7+	59,977	59,977	0,000	35	0,773	2,258	3,718	8,720		645,378	1338	625966547183992834	625964181109971211	92
1	C34H50N2O10	[M + H]+	C34H51N2O10+	69,469	69,469	0,000	38	0,775	0,188	4,806	4,615		647,357	1338	625966628704485832	625964181286131984	93
1	C39H54N6O6	[M + H]+	C39H55N6O6+	108,811	108,811	0,000	46	0,826	3,832	3,832	7,151		703,423	1338	625966492121169268	625964181441321237	94
1	C37H60N6O7S	[M + H]+	C37H61N6O7S+	44,965	44,965	0,000	32	0,714	-1,770	2,912	0,429		733,432	1338	625966534240370631	625964181487458586	95
1	C26H40N2O9	[M + H]+	C26H41N2O9+	48,676	48,676	0,000	42	0,731	2,488	4,727	-5,021		525,278	1338	625966611956629768	625964181521013023	96
